Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,GDP per hour worked index relative to the U.S.,Capital investment as percent of GDP,Household consumption as percent of GDP,Unemployment rate
Afghanistan,AFG,AS,2020,-2.35,516.75,,,,11.71
Afghanistan,AFG,AS,2021,,,,,,13.28
Albania,ALB,EU,2020,-3.48,5332.16,,23.2,80.54,13.33
Albania,ALB,EU,2021,8.54,6494.39,,24.12,74.54,11.82
Algeria,DZA,AF,2020,-5.1,3306.86,,43.38,48.19,12.55
Algeria,DZA,AF,2021,3.85,3765.03,,39.76,42.59,12.7
Andorra,AND,EU,2020,-11.18,37416.7,,,,
Andorra,AND,EU,2021,8.95,43047.69,,,,
Angola,AGO,AF,2020,-5.5,1631.43,,16.03,56.81,8.33
Angola,AGO,AF,2021,0.7,2137.91,,19.5,50.3,8.53
Antigua and Barbuda,ATG,NA,2020,-20.19,13992.74,,57.65,60.1,
Antigua and Barbuda,ATG,NA,2021,5.27,14900.8,,,,
Argentina,ARG,SA,2020,-9.9,8585.69,,14.02,63.52,11.46
Argentina,ARG,SA,2021,10.26,10729.23,,17.11,61.81,10.9
Armenia,ARM,AS,2020,-7.4,4266.02,,18.53,75.4,21.21
Armenia,ARM,AS,2021,5.7,4670.01,,19.63,71.94,20.9
Aruba,ABW,NA,2020,-22.32,23384.3,,22.47,65.34,
Australia,AUS,OC,2020,-0,51680.32,81.64,22.27,52.94,6.46
Australia,AUS,OC,2021,1.48,59934.13,84.08,22.68,51.65,5.11
Austria,AUT,EU,2020,-6.73,48588.66,99.67,25.9,50.12,5.36
Austria,AUT,EU,2021,4.48,53267.93,94.96,27.57,49.88,6.3
Azerbaijan,AZE,AS,2020,-4.3,4229.91,,23.67,60.89,6.46
Azerbaijan,AZE,AS,2021,5.6,5384.04,,17.31,52.5,6.58
Bahamas,BHS,NA,2020,-23.82,24665.1,,24.52,65.32,13.32
Bahamas,BHS,NA,2021,13.72,28239.37,,25.78,68.52,13.24
Bahrain,BHR,AS,2020,-4.94,20406.5,,35.27,42.01,1.78
Bahrain,BHR,AS,2021,2.23,22232.33,,,,1.87
Bangladesh,BGD,AS,2020,3.45,2270.35,,31.31,66.95,5.41
Bangladesh,BGD,AS,2021,6.94,2503.04,,31.02,68.78,5.23
Barbados,BRB,NA,2020,-13.98,16318.75,,18.1,79.24,10.38
Barbados,BRB,NA,2021,1.4,17033.94,,,,10.41
Belarus,BLR,EU,2020,-0.9,6555.43,,27.46,52.24,4.77
Belarus,BLR,EU,2021,2.51,7303.7,,24.75,51.41,4.74
Belgium,BEL,EU,2020,-5.68,45189.37,108.94,24.2,49.69,5.55
Belgium,BEL,EU,2021,6.24,51767.79,109.61,26.29,48.67,6.42
Belize,BLZ,NA,2020,-16.75,3987.8,,23.53,74.79,8.46
Belize,BLZ,NA,2021,9.75,4420.49,,21.26,71.18,8.22
Benin,BEN,AF,2020,3.85,1291.04,,25.63,68.06,1.58
Benin,BEN,AF,2021,6.6,1428.45,,,,1.57
Bermuda,BMU,NA,2020,-6.85,107706.04,,12.37,46.51,
Bermuda,BMU,NA,2021,1.85,110869.46,,13.53,49.41,
Bhutan,BTN,AS,2020,-10.08,3000.78,,33.75,62,3.65
Bhutan,BTN,AS,2021,,,,,,4.33
Bolivia,BOL,SA,2020,-8.74,3137.99,,15.78,69.44,7.9
Bolivia,BOL,SA,2021,6.11,3414.89,,16.83,67.2,8.51
Bosnia and Herzegovina,BIH,EU,2020,-3.12,6082.37,,23.46,73.18,15.27
Bosnia and Herzegovina,BIH,EU,2021,7.1,6916.44,,22.38,71.15,15.22
Botswana,BWA,AF,2020,-8.73,6348.83,,33.28,45.9,24.93
Botswana,BWA,AF,2021,11.36,7347.55,,,,24.72
Brazil,BRA,SA,2020,-3.88,6814.88,,15.93,62.89,13.69
Brazil,BRA,SA,2021,4.62,7518.83,,18.92,60.97,14.4
Brunei,BRN,AS,2020,1.13,27442.95,,40.59,23.76,7.68
Brunei,BRN,AS,2021,-1.61,31722.66,,31.27,24.51,7.65
Bulgaria,BGR,EU,2020,-4.39,10079.2,,20.34,58.7,5.12
Bulgaria,BGR,EU,2021,4.18,11634.97,,19.56,59.37,5.42
Burkina Faso,BFA,AF,2020,1.93,857.93,,,,4.89
Burkina Faso,BFA,AF,2021,6.91,918.15,,,,4.76
Burma (Myanmar),MMR,AS,2020,3.17,1450.66,,30.01,51.17,1.06
Burma (Myanmar),MMR,AS,2021,-17.98,1187.24,,30.85,46.25,2.17
Burundi,BDI,AF,2020,0.33,233.84,,11.45,74.88,1.71
Burundi,BDI,AF,2021,1.8,236.8,,13.11,74.93,1.79
Cambodia,KHM,AS,2020,-3.1,1547.51,,24.88,69.5,0.33
Cambodia,KHM,AS,2021,3.03,1590.96,,26.58,65.17,0.61
Cameroon,CMR,AF,2020,0.49,1537.13,,17.74,73.11,3.84
Cameroon,CMR,AF,2021,3.49,1661.7,,17.86,,3.87
Canada,CAN,NA,2020,-5.23,43258.27,76.8,22.26,57.16,9.46
Canada,CAN,NA,2021,4.56,52051.35,73.97,23.69,54.55,7.51
Cape Verde,CPV,AF,2020,-14.78,3064.27,,50.8,63.54,15.31
Cape Verde,CPV,AF,2021,6.95,3445.76,,45.6,63.33,15.42
Central African Republic,CAF,AF,2020,0.9,481.75,,26,91.2,6.36
Central African Republic,CAF,AF,2021,0.9,511.48,,26,90.86,6.57
Chad,TCD,AF,2020,-1.6,652.35,,20.56,90.01,1.74
Chad,TCD,AF,2021,-1.2,696.42,,18.97,81.83,1.88
Chile,CHL,SA,2020,-5.98,13220.57,41.8,21.63,57.77,11.18
Chile,CHL,SA,2021,11.67,16502.84,42.04,25.32,60.97,9.13
China,CHN,AS,2020,2.24,10408.67,,43.37,38.2,5
China,CHN,AS,2021,8.11,12556.33,,,,4.82
Colombia,COL,SA,2020,-7.05,5312.2,24.37,19.24,70.51,15.04
Colombia,COL,SA,2021,10.56,6131.23,21.13,19.74,71.58,14.34
Comoros,COM,AF,2020,-0.29,1407.41,,11.85,100.04,9.22
Comoros,COM,AF,2021,2.35,1494.69,,10.81,99.79,9.45
Costa Rica,CRC,NA,2020,-4.05,12201.93,,15.8,63.58,17.41
Costa Rica,CRC,NA,2021,7.58,12508.62,,19.64,62.45,17.95
Croatia,HRV,EU,2020,-8.1,14132.49,,23.91,58.9,7.51
Croatia,HRV,EU,2021,10.45,17398.77,,20.22,58.31,8.68
Cyprus,CYP,EU,2020,-4.98,27681.57,,19.17,63.49,7.59
Cyprus,CYP,EU,2021,5.51,30798.48,,16.82,62.04,6.13
Czechia,CZE,EU,2020,-5.8,22933.5,62.6,25.92,45.62,2.55
Czechia,CZE,EU,2021,3.34,26378.5,61.18,29.82,45.67,2.89
Democratic Republic of the Congo,COD,AF,2020,1.74,543.95,,24.6,69.1,5.27
Democratic Republic of the Congo,COD,AF,2021,5.71,584.11,,25.04,66.22,5.43
Denmark,DNK,EU,2020,-2.06,61063.32,110.02,22.93,45.96,5.64
Denmark,DNK,EU,2021,4.69,67803.05,109.2,23.31,45.6,4.8
Djibouti,DJI,AF,2020,1.2,3219.7,,0.92,55.08,28.39
Djibouti,DJI,AF,2021,4.31,3363.71,,,,28.39
Dominica,DMA,NA,2020,-16.6,7003.86,,,,
Dominica,DMA,NA,2021,6.54,7559.98,,,,
Dominican Republic,DOM,NA,2020,-6.72,7268.2,,25.38,69.69,6.13
Dominican Republic,DOM,NA,2021,12.27,8603.79,,31.35,66.41,8.5
Ecuador,ECU,SA,2020,-7.79,5627.77,,22.05,59.26,6.11
Ecuador,ECU,SA,2021,4.24,5934.88,,22.35,61.38,6.43
Egypt,EGY,AF,2020,3.57,3569.21,,13.79,85.83,9.17
