Country,Code,ContinentCode,Year,Labor force participation rate,Female labor force participation rate,Male labor force participation rate
Afghanistan,AFG,AS,2020,41.58,16.19,65.58
Afghanistan,AFG,AS,2021,41.39,14.85,66.51
Albania,ALB,EU,2020,57.79,49.79,65.63
Albania,ALB,EU,2021,58.53,50.73,66.15
Algeria,DZA,AF,2020,39.87,15.44,64.02
Algeria,DZA,AF,2021,40.22,15.68,64.48
Angola,AGO,AF,2020,76.15,73.62,78.8
Angola,AGO,AF,2021,76.46,73.97,79.07
Argentina,ARG,SA,2020,56.02,46.64,66.14
Argentina,ARG,SA,2021,60.4,50.01,71.6
Armenia,ARM,AS,2020,51.26,41.96,62.42
Armenia,ARM,AS,2021,51.91,42.66,63
Australia,AUS,OC,2020,65.03,60.17,70
Australia,AUS,OC,2021,65.75,61.06,70.55
Austria,AUT,EU,2020,60.77,55.62,66.15
Austria,AUT,EU,2021,60.79,55.51,66.28
Azerbaijan,AZE,AS,2020,62.79,59.16,66.57
Azerbaijan,AZE,AS,2021,63.78,60.37,67.34
Bahamas,BHS,NA,2020,66.4,63.23,69.84
Bahamas,BHS,NA,2021,68.44,65.63,71.49
Bahrain,BHR,AS,2020,69.93,42.06,83.24
Bahrain,BHR,AS,2021,70.31,42.36,83.53
Bangladesh,BGD,AS,2020,56.71,34.54,78.56
Bangladesh,BGD,AS,2021,56.97,34.87,78.78
Barbados,BRB,NA,2020,59.34,55.56,63.44
Barbados,BRB,NA,2021,59.74,56.06,63.73
Belarus,BLR,EU,2020,64.05,57.73,71.59
Belarus,BLR,EU,2021,63.73,57.31,71.39
Belgium,BEL,EU,2020,53.83,49.33,58.48
Belgium,BEL,EU,2021,54.26,49.84,58.81
Belize,BLZ,NA,2020,60.68,45.86,75.91
Belize,BLZ,NA,2021,61.61,46.9,76.75
Benin,BEN,AF,2020,70.83,69.3,72.41
Benin,BEN,AF,2021,70.95,69.33,72.6
Bhutan,BTN,AS,2020,59.49,50.9,66.82
Bhutan,BTN,AS,2021,60.14,51.63,67.4
Bolivia,BOL,SA,2020,64.46,54.72,74.28
Bolivia,BOL,SA,2021,75.99,68.28,83.76
Bosnia and Herzegovina,BIH,EU,2020,42.58,32.67,53.07
Bosnia and Herzegovina,BIH,EU,2021,42.01,32.26,52.35
Botswana,BWA,AF,2020,60.72,56.42,65.49
Botswana,BWA,AF,2021,60.49,56.28,65.15
Brazil,BRA,SA,2020,57.28,47.71,67.39
Brazil,BRA,SA,2021,58.41,49.11,68.24
Brunei,BRN,AS,2020,63.8,54.36,72.51
Brunei,BRN,AS,2021,63.56,54.07,72.34
Bulgaria,BGR,EU,2020,55.55,49.18,62.43
Bulgaria,BGR,EU,2021,55.63,49.14,62.64
Burkina Faso,BFA,AF,2020,64.79,57.27,72.56
Burkina Faso,BFA,AF,2021,64.87,57.24,72.72
Burma (Myanmar),MMR,AS,2020,56.74,43.06,71.89
Burma (Myanmar),MMR,AS,2021,54.74,40.99,69.96
Burundi,BDI,AF,2020,78.18,79.14,77.18
Burundi,BDI,AF,2021,78.2,78.99,77.38
Cambodia,KHM,AS,2020,79.54,73.81,85.79
Cambodia,KHM,AS,2021,79.68,73.96,85.92
Cameroon,CMR,AF,2020,75.27,70.1,80.5
Cameroon,CMR,AF,2021,75.42,70.15,80.75
Canada,CAN,NA,2020,64.02,59.51,68.64
Canada,CAN,NA,2021,65.21,60.8,69.74
Cape Verde,CPV,AF,2020,52.99,45.35,60.61
Cape Verde,CPV,AF,2021,54.31,46.91,61.71
Central African Republic,CAF,AF,2020,70.9,62.92,79.2
Central African Republic,CAF,AF,2021,71.24,63.31,79.49
Chad,TCD,AF,2020,57.86,46.44,69.44
Chad,TCD,AF,2021,58.34,46.91,69.93
Chile,CHL,SA,2020,55.3,44.57,66.5
Chile,CHL,SA,2021,54.63,44.17,65.55
China,CHN,AS,2020,68.25,61.82,74.47
China,CHN,AS,2021,68.06,61.61,74.29
Colombia,COL,SA,2020,62.7,50.27,75.89
Colombia,COL,SA,2021,64.71,52.18,78
Comoros,COM,AF,2020,43.17,31.91,54.36
Comoros,COM,AF,2021,43.36,32.12,54.53
Costa Rica,CRC,NA,2020,58.72,46.5,71.11
Costa Rica,CRC,NA,2021,59.25,47.53,71.14
Croatia,HRV,EU,2020,51.03,44.7,57.98
Croatia,HRV,EU,2021,52.04,45.92,58.75
Cyprus,CYP,EU,2020,62.7,56.41,69.07
Cyprus,CYP,EU,2021,62.67,56.65,68.77
Czechia,CZE,EU,2020,59.79,51.82,68.14
Czechia,CZE,EU,2021,59.68,51.67,68.06
Democratic Republic of the Congo,COD,AF,2020,64.82,60.87,68.84
Democratic Republic of the Congo,COD,AF,2021,65.1,61.21,69.07
Denmark,DNK,EU,2020,62.02,57.75,66.39
Denmark,DNK,EU,2021,62.13,57.72,66.65
Djibouti,DJI,AF,2020,31.44,17.14,44.24
Djibouti,DJI,AF,2021,31.43,17.22,44.15
Dominican Republic,DOM,NA,2020,60.35,47.35,73.59
Dominican Republic,DOM,NA,2021,62.25,49.58,75.16
Ecuador,ECU,SA,2020,60.09,48.29,72.08
Ecuador,ECU,SA,2021,64.84,53.34,76.52
Egypt,EGY,AF,2020,41.22,15.42,66.97
Egypt,EGY,AF,2021,41.26,15.39,67.09
El Salvador,SLV,NA,2020,55.46,42.45,71.21
El Salvador,SLV,NA,2021,56.69,43.58,72.57
Equatorial Guinea,GNQ,AF,2020,54.52,49.41,58.15
Equatorial Guinea,GNQ,AF,2021,54.93,49.93,58.48
Eritrea,ERI,AF,2020,75.18,67.95,82.58
Eritrea,ERI,AF,2021,76.83,70.18,83.62
Estonia,EST,EU,2020,63.63,57.56,70.6
Estonia,EST,EU,2021,63.38,57.45,70.17
Ethiopia,ETH,AF,2020,77.52,71.03,84.11
Ethiopia,ETH,AF,2021,78.46,72.33,84.68
Euro area,XC,EU,2020,56.58,51.08,62.43
