Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) 
Afghanistan,AFG,AS,2020,-1.82,-1.59,-1.48,-1.4,-1.08,-2.71,19,5,6
Afghanistan,AFG,AS,2021,-1.87,-1.63,-1.14,-1.34,-1.57,-2.53,16,,
Albania,ALB,EU,2020,-0.35,-0.12,-0.55,0.24,0.09,0.09,36,3,3
Albania,ALB,EU,2021,-0.26,-0,-0.56,0.19,0.09,0.11,35,,
Algeria,DZA,AF,2020,-0.79,-0.54,-0.65,-1.34,-1.09,-0.84,36,6,5
Algeria,DZA,AF,2021,-0.82,-0.62,-0.61,-1.17,-1.01,-0.88,33,,
Andorra,AND,EU,2020,1.69,1.82,1.31,1.34,1.09,1.62,,1,1
Andorra,AND,EU,2021,1.72,1.82,1.33,1.36,1.04,1.63,,,
Angola,AGO,AF,2020,-0.91,-1.2,-0.95,-0.84,-0.8,-0.51,27,6,5
Angola,AGO,AF,2021,-0.95,-1.06,-0.66,-0.66,-0.84,-0.71,29,,
Antigua and Barbuda,ATG,NA,2020,0.45,-0.16,0.27,0.51,0.75,0.94,,2,2
Antigua and Barbuda,ATG,NA,2021,0.34,-0.14,0.26,0.39,0.74,0.96,,,
Argentina,ARG,SA,2020,-0.47,-0.22,-0.14,-0.48,0.59,-0.08,42,2,2
Argentina,ARG,SA,2021,-0.46,-0.36,-0.4,-0.62,0.62,-0.11,38,,
Armenia,ARM,AS,2020,-0.1,-0.27,0.02,0.25,0.05,-0.76,49,4,4
Armenia,ARM,AS,2021,-0.1,-0.25,0.07,0.15,0.06,-0.84,49,,
Aruba,ABW,NA,2020,1.3,1.12,1.23,0.93,1.29,1.39,,,
Aruba,ABW,NA,2021,1.28,1.13,0.83,0.95,1.03,1.47,,,
Australia,AUS,OC,2020,1.64,1.61,1.66,1.82,1.3,0.85,77,1,1
Australia,AUS,OC,2021,1.67,1.51,1.74,1.84,1.38,0.85,73,,
Austria,AUT,EU,2020,1.8,1.65,1.51,1.41,1.4,0.91,76,1,1
Austria,AUT,EU,2021,1.79,1.57,1.27,1.35,1.4,0.91,74,,
Azerbaijan,AZE,AS,2020,-0.72,-0.12,-1.06,-0.32,-1.54,-0.84,30,7,6
Azerbaijan,AZE,AS,2021,-0.58,0.25,-0.83,-0.06,-1.53,-0.85,30,,
Bahamas,BHS,NA,2020,0.06,0.45,1.13,0.01,0.92,0.85,63,1,1
Bahamas,BHS,NA,2021,0.1,0.46,1.18,0.06,0.91,0.88,64,,
Bahrain,BHR,AS,2020,0.48,0.42,-0.07,0.63,-1.45,-0.62,42,7,6
Bahrain,BHR,AS,2021,0.47,0.72,0.17,0.85,-1.5,-0.51,42,,
Bangladesh,BGD,AS,2020,-0.56,-0.76,-0.98,-0.9,-0.77,-0.92,26,5,5
Bangladesh,BGD,AS,2021,-0.61,-0.63,-0.96,-0.85,-0.77,-0.97,26,,
Barbados,BRB,NA,2020,0.33,0.48,1.22,0.48,1.13,1.13,64,1,1
Barbados,BRB,NA,2021,0.37,0.54,1.24,0.56,1.13,1.12,65,,
Belarus,BLR,EU,2020,-1.05,-0.8,-0.11,-0.78,-1.45,-0.9,47,7,6
Belarus,BLR,EU,2021,-1.1,-0.77,-0.24,-0.92,-1.58,-0.74,41,,
Belgium,BEL,EU,2020,1.36,1.12,1.48,1.35,1.28,0.54,76,1,1
Belgium,BEL,EU,2021,1.33,1.13,1.48,1.34,1.28,0.61,73,,
Belize,BLZ,NA,2020,-0.8,-0.57,-0.17,-0.54,0.53,0.52,,2,2
Belize,BLZ,NA,2021,-0.78,-0.49,-0.3,-0.42,0.55,0.46,,,
Benin,BEN,AF,2020,-0.73,-0.26,-0.03,-0.47,-0.07,-0.43,41,4,2
Benin,BEN,AF,2021,-0.59,-0.21,-0.15,-0.43,-0.24,-0.3,42,,
Bermuda,BMU,NA,2020,0.68,1.53,1.31,0.94,,1.01,,,
Bermuda,BMU,NA,2021,0.7,1.54,1.33,0.96,,1.01,,,
Bhutan,BTN,AS,2020,0.61,0.45,1.66,-0.29,0.15,1.02,68,3,4
Bhutan,BTN,AS,2021,0.64,0.8,1.55,-0.37,0.23,0.97,68,,
Bolivia,BOL,SA,2020,-1.21,-0.7,-0.82,-1.02,-0.08,-0.46,31,3,3
Bolivia,BOL,SA,2021,-1.16,-0.73,-0.86,-1.15,-0.11,-0.32,30,,
Bosnia and Herzegovina,BIH,EU,2020,-0.29,-1.04,-0.62,-0.17,-0.32,-0.44,35,4,4
Bosnia and Herzegovina,BIH,EU,2021,-0.28,-1.04,-0.64,-0.18,-0.31,-0.38,35,,
Botswana,BWA,AF,2020,0.41,0.2,0.63,0.54,0.49,1.03,60,3,2
Botswana,BWA,AF,2021,0.48,0.35,0.69,0.61,0.46,0.98,55,,
