Country,Code,ContinentCode,Year,Gasoline consumption thousand barrels per day,Coal consumption thousand short tons,Electricity consumption billion kilowatthours,Renewable power generation billion kilowatthours
Afghanistan,AFG,AS,2019,14.17,2357.84,5.91,0.88
Albania,ALB,EU,2019,2.57,114.6,6.53,5.18
Algeria,DZA,AF,2019,90.28,16.27,66.65,0.84
Angola,AGO,AF,2019,26.36,0,11.82,9.25
Antigua and Barbuda,ATG,NA,2019,0.98,0,0.28,0.02
Argentina,ARG,SA,2019,158.66,935.2,122.09,34.78
Armenia,ARM,AS,2019,4.09,4.84,5.76,2.37
Aruba,ABW,NA,2019,1.55,0,0.91,0.15
Australia,AUS,OC,2019,306.61,112009.02,237.39,51.59
Austria,AUT,EU,2019,38.2,3520.34,68.5,55.15
Azerbaijan,AZE,AS,2019,31.71,13.77,21.03,1.89
Bahamas,BHS,NA,2019,5.6,0,2.1,0
Bahrain,BHR,AS,2019,17.41,0,31.04,0.01
Bangladesh,BGD,AS,2019,4.91,8896.73,76.85,1.2
Barbados,BRB,NA,2019,2.23,0,1,0.04
Belarus,BLR,EU,2019,29.1,720.38,32.67,1.04
Belgium,BEL,EU,2019,44.7,4039.19,83.5,20.82
Belize,BLZ,NA,2019,1.15,0,0.99,0.43
Benin,BEN,AF,2019,25.64,129.9,0.93,0.01
Bermuda,BMU,NA,2019,0.5,0,0.53,0
Bhutan,BTN,AS,2019,0.88,222.44,4.31,8.95
Bolivia,BOL,SA,2019,32.09,0,8.76,3.72
Bosnia and Herzegovina,BIH,EU,2019,4.11,7838.27,11.66,6.31
Botswana,BWA,AF,2019,10.56,1466.6,3.52,0.01
Brazil,BRA,SA,2019,1028.35,26724.26,533.85,510.39
Brunei,BRN,AS,2019,6.66,0,4.14,0
Bulgaria,BGR,EU,2019,10.94,31812.73,30.91,6.89
Burkina Faso,BFA,AF,2019,10.63,0,2.03,0.17
Burma (Myanmar),MMR,AS,2019,44.54,1892.77,20.47,12.01
Burundi,BDI,AF,2019,2.59,0,0.44,0.23
Cambodia,KHM,AS,2019,15.61,2764.83,10.29,4.21
Cameroon,CMR,AF,2019,10.35,0,6.51,5.36
Canada,CAN,NA,2019,882.21,32227.13,552.62,425.78
Cape Verde,CPV,AF,2019,0.22,0,0.44,0.09
Central African Republic,CAF,AF,2019,0.58,0,0.14,0.15
Chad,TCD,AF,2019,3.9,0,0.19,0.01
Chile,CHL,SA,2019,80.04,13063.58,75.55,36.25
China,CHN,AS,2019,3192.72,4430349,6875.09,2005.88
Colombia,COL,SA,2019,127.39,10225.18,69.86,55.76
Comoros,COM,AF,2019,0.56,0,0.1,0
Croatia,HRV,EU,2019,11.15,759.49,16.79,8.39
Cuba,CUB,NA,2019,6.47,3.15,16.1,0.91
Cyprus,CYP,EU,2019,7.81,0.2,4.73,0.52
Czechia,CZE,EU,2019,37.41,45963.68,61.79,10.06
Democratic Republic of the Congo,COD,AF,2019,7.31,20.02,7.18,9.18
Denmark,DNK,EU,2019,30.72,1740.49,33.34,23.87
Djibouti,DJI,AF,2019,0.32,0,-0.06,0
Dominica,DMA,NA,2019,0.25,0,0.08,0.02
Dominican Republic,DOM,NA,2019,24.94,2122.81,16.33,2.07
Ecuador,ECU,SA,2019,89.23,16.31,26.35,25
Egypt,EGY,AF,2019,167.8,4345.13,149.08,17.55
El Salvador,SLV,NA,2019,16.87,0,6.44,4.24
Equatorial Guinea,GNQ,AF,2019,1.61,0,1,0.12
Eritrea,ERI,AF,2019,0.26,0,0.39,0.02
Estonia,EST,EU,2019,6.35,19.61,8.47,2.21
Ethiopia,ETH,AF,2019,12.25,761.37,9.78,14.15
Faroe Islands,FRO,EU,2019,0.26,0,0.36,0.17
Fiji,FJI,OC,2019,2.62,0,1.02,0.64
Finland,FIN,EU,2019,32.8,3923.45,83.98,32.28
France,FRA,EU,2019,203.36,10897.19,449.24,116.14
Gabon,GAB,AF,2019,1.66,0,3.13,1.75
Gambia,GMB,AF,2019,0.61,0,0.24,0
Georgia,GEO,AS,2019,12.85,274.36,12.06,8.93
Germany,DEU,EU,2019,495.52,188824.59,517.3,250.8
Ghana,GHA,AF,2019,29.96,81.62,13.11,7.51
Gibraltar,GIB,EU,2019,1.1,0,0.2,0
