Country,Code,ContinentCode,Year,Oil consumption thousand barrels per day
Afghanistan,AFG,AS,2014,130
Albania,ALB,EU,2014,27
Algeria,DZA,AF,2014,430
Angola,AGO,AF,2014,132
Antigua and Barbuda,ATG,NA,2014,5
Argentina,ARG,SA,2014,751
Armenia,ARM,AS,2014,8
Aruba,ABW,NA,2014,7.5
Australia,AUS,OC,2014,1111
Austria,AUT,EU,2014,261
Azerbaijan,AZE,AS,2014,104
Bahamas,BHS,NA,2014,24
Bahrain,BHR,AS,2014,55
Bangladesh,BGD,AS,2014,109
Barbados,BRB,NA,2014,12
Belarus,BLR,EU,2014,170
Belgium,BEL,EU,2014,619
Belize,BLZ,NA,2014,3.7
Benin,BEN,AF,2014,41
Bermuda,BMU,NA,2014,3.3
Bhutan,BTN,AS,2014,3
Bolivia,BOL,SA,2014,78
Bosnia and Herzegovina,BIH,EU,2014,30
Botswana,BWA,AF,2014,23
Brazil,BRA,SA,2014,3144
Brunei,BRN,AS,2014,18
Bulgaria,BGR,EU,2014,84
Burkina Faso,BFA,AF,2014,22
Burma (Myanmar),MMR,AS,2014,61
Burundi,BDI,AF,2014,1.5
Cambodia,KHM,AS,2014,36
Cameroon,CMR,AF,2014,43
Canada,CAN,NA,2014,2407
Cape Verde,CPV,AF,2014,6
Central African Republic,CAF,AF,2014,3
Chad,TCD,AF,2014,2.2
Chile,CHL,SA,2014,337
China,CHN,AS,2014,11552.7
Colombia,COL,SA,2014,299
Comoros,COM,AF,2014,1.3
Costa Rica,CRC,NA,2014,53
Croatia,HRV,EU,2014,70
Cuba,CUB,NA,2014,178
Cyprus,CYP,EU,2014,45
Czechia,CZE,EU,2014,200
Democratic Republic of the Congo,COD,AF,2014,24
Denmark,DNK,EU,2014,154
Djibouti,DJI,AF,2014,6
Dominica,DMA,NA,2014,1
Dominican Republic,DOM,NA,2014,116
Ecuador,ECU,SA,2014,282
Egypt,EGY,AF,2014,797
El Salvador,SLV,NA,2014,45
