Country,Code,ContinentCode,Year,Fossil fuels electricity generation billion kilowatthours,Wind electricity generation billion kilowatthours,Solar electricity generation billion kilowatthours,Hydroelectricity generation billion kilowatthours,Nuclear power generation billion kilowatthours,Geothermal electricity generation billion kilowatthours
Afghanistan,AFG,AS,2020,0.12,0,0.04,0.62,0,0
Albania,ALB,EU,2020,0,0,0.03,5.28,0,0
Algeria,DZA,AF,2020,72.01,0.01,0.68,0.09,0,0
Angola,AGO,AF,2020,4.09,0,0.02,10.08,0,0
Antigua and Barbuda,ATG,NA,2020,0.31,0,0.02,0,0,0
Argentina,ARG,SA,2020,90.64,9.41,1.35,24.26,10.01,0
Armenia,ARM,AS,2020,2.98,0,0.02,1.78,2.55,0
Aruba,ABW,NA,2020,0.73,0.14,0.01,0,0,0
Australia,AUS,OC,2020,183.51,20.4,21.03,15.15,0,0
Austria,AUT,EU,2020,12.53,6.79,2.04,45.34,0,0
Azerbaijan,AZE,AS,2020,22.96,0.1,0.05,1.07,0,0
Bahamas,BHS,NA,2020,1.99,0,0,0,0,0
Bahrain,BHR,AS,2020,29.85,0,0.01,0,0,0
Bangladesh,BGD,AS,2020,74.44,0.01,0.42,0.61,0,0
Barbados,BRB,NA,2020,0.93,0,0.04,0,0,0
Belarus,BLR,EU,2020,34.53,0.19,0.18,0.39,0.34,0
Belgium,BEL,EU,2020,28.35,12.87,4.97,0.27,32.61,0
Belize,BLZ,NA,2020,0.38,0,0,0.08,0,0
Benin,BEN,AF,2020,0.22,0,0.01,0,0,0
Bermuda,BMU,NA,2020,0.55,0,0,0,0,0
Bhutan,BTN,AS,2020,0,0,0,8.95,0,0
Bolivia,BOL,SA,2020,6.2,0.06,0.25,2.94,0,0
Bosnia and Herzegovina,BIH,EU,2020,10.82,0.26,0.05,6.1,0,0
Botswana,BWA,AF,2020,2.05,0,0.01,0,0,0
Brazil,BRA,SA,2020,73.3,57.05,10.75,409.5,14.05,0
Brunei,BRN,AS,2020,4.4,0,0,0,0,0
Bulgaria,BGR,EU,2020,13.6,1.48,1.47,3.37,16.63,0
Burkina Faso,BFA,AF,2020,1.44,0,0.05,0.11,0,0
Burma (Myanmar),MMR,AS,2020,12.22,0,0.02,11,0,0
Burundi,BDI,AF,2020,0.12,0,0.01,0.22,0,0
Cambodia,KHM,AS,2020,3.99,0,0.09,3.49,0,0
Cameroon,CMR,AF,2020,2.84,0,0.02,5.88,0,0
Canada,CAN,NA,2020,103.85,36.1,4.28,383,92.65,0
Cape Verde,CPV,AF,2020,0.36,0.08,0.01,0,0,0
Central African Republic,CAF,AF,2020,0,0,0,0.15,0,0
Chad,TCD,AF,2020,0.28,0.01,0,0,0,0
Chile,CHL,SA,2020,41.44,5.52,7.62,20.79,0,0.25
China,CHN,AS,2020,5025.8,471.18,269.72,1355.2,366.3,0.13
Colombia,COL,SA,2020,22.94,0.06,0.19,45.82,0,0
Comoros,COM,AF,2020,0.13,0,0,0,0,0
Croatia,HRV,EU,2020,4.38,1.72,0.1,3.4,0,0.09
Cuba,CUB,NA,2020,17.68,0.02,0.25,0.06,0,0
Cyprus,CYP,EU,2020,4.1,0.24,0.33,0,0,0
Czechia,CZE,EU,2020,35.51,0.7,2.24,3.4,28.37,0
Democratic Republic of the Congo,COD,AF,2020,0,0,0.01,9.19,0,0
Denmark,DNK,EU,2020,4.21,16.35,1.18,0.02,0,0
Djibouti,DJI,AF,2020,0.05,0,0,0,0,0
Dominica,DMA,NA,2020,0.12,0,0,0.04,0,0
Dominican Republic,DOM,NA,2020,15.99,0.55,0.26,0.12,0,0
Ecuador,ECU,SA,2020,6.76,0.08,0.04,24.79,0,0
Egypt,EGY,AF,2020,140.08,4,1.5,12.09,0,0
El Salvador,SLV,NA,2020,1.87,0,0.5,1.99,0,1.47
Equatorial Guinea,GNQ,AF,2020,1.01,0,0,0.12,0,0
Eritrea,ERI,AF,2020,0.41,0,0.03,0,0,0
Estonia,EST,EU,2020,3.29,0.84,0.12,0.04,0,0
Ethiopia,ETH,AF,2020,0,0.53,0.02,13.56,0,0
Faroe Islands,FRO,EU,2020,0.25,0.06,0,0.11,0,0
Fiji,FJI,OC,2020,0.42,0,0.02,0.5,0,0
Finland,FIN,EU,2020,8.98,7.94,0.26,15.56,22.36,0
France,FRA,EU,2020,44.55,40.7,13.58,64.84,379.5,0.13
Gabon,GAB,AF,2020,1.2,0,0,1.74,0,0
Gambia,GMB,AF,2020,0.29,0,0,0,0,0
Georgia,GEO,AS,2020,2.82,0.09,0,8.25,0,0
Germany,DEU,EU,2020,221.66,130.97,50.6,24.75,60.92,0.22
Ghana,GHA,AF,2020,12.82,0,0.06,7.21,0,0
Gibraltar,GIB,EU,2020,0.2,0,0,0,0,0
Greece,GRC,EU,2020,22.94,9.32,4.36,3.43,0,0
Grenada,GRD,NA,2020,0.2,0,0,0,0,0
Guatemala,GTM,NA,2020,5.97,0.31,0.22,5.77,0,0.33
Guinea,GIN,AF,2020,0.71,0,0.02,2.47,0,0
Guinea-Bissau,GNB,AF,2020,0.08,0,0,0,0,0
Guyana,GUY,SA,2020,1.07,0,0.02,0,0,0
Haiti,HTI,NA,2020,0.81,0,0,0.13,0,0
Honduras,HND,NA,2020,5.1,0.82,1.12,2.7,0,0.3
