Country,Code,ContinentCode,Year,Fossil fuels electricity capacity million kilowatts,Wind electricity capacity million kilowatts,Solar electricity capacity million kilowatts,Hydroelectricity capacity million kilowatts,Nuclear electricity capacity million kilowatts,Geothermal electricity capacity million kilowatts
Afghanistan,AFG,AS,2020,0.28,0,0.03,0.46,0,0
Albania,ALB,EU,2020,0.12,0,0.02,2.39,0,0
Algeria,DZA,AF,2020,20.97,0.01,0.45,0.27,0,0
Angola,AGO,AF,2020,3.44,0,0.01,3.84,0,0
Antigua and Barbuda,ATG,NA,2020,0.11,0,0.01,0,0,0
Argentina,ARG,SA,2020,28.14,2.62,0.76,10.34,1.64,0
Armenia,ARM,AS,2020,1.83,0,0.1,1.29,0.42,0
Aruba,ABW,NA,2020,0.26,0.03,0.01,0,0,0
Australia,AUS,OC,2020,45.76,9.46,17.63,7.45,0,
Austria,AUT,EU,2020,6.38,3.22,2.22,9,0,0
Azerbaijan,AZE,AS,2020,6.4,0.07,0.04,1.13,0,0
Bahamas,BHS,NA,2020,0.58,0,0,0,0,0
Bahrain,BHR,AS,2020,6.97,0,0.01,0,0,0
Bangladesh,BGD,AS,2020,17.92,0,0.3,0.23,0,0
Barbados,BRB,NA,2020,0.26,0,0.05,0,0,0
Belarus,BLR,EU,2020,9.82,0.12,0.16,0.1,1.11,0
Belgium,BEL,EU,2020,8.21,4.69,5.65,0.12,5.94,0
Belize,BLZ,NA,2020,0.1,0,0.01,0.06,0,0
Benin,BEN,AF,2020,0.44,0,0,0.03,0,0
Bermuda,BMU,NA,2020,0.17,0,0,0,0,0
Bhutan,BTN,AS,2020,0.01,0,0,2.33,0,0
Bolivia,BOL,SA,2020,2.78,0.03,0.12,0.74,0,0
Bosnia and Herzegovina,BIH,EU,2020,2.14,0.09,0.04,2.09,0,0
Botswana,BWA,AF,2020,0.76,0,0.01,0,0,0
Brazil,BRA,SA,2020,43.15,17.2,7.88,109.24,1.88,0
Brunei,BRN,AS,2020,1.26,0,0,0,0,0
Bulgaria,BGR,EU,2020,4.1,0.7,1.07,1.73,2.01,0
Burkina Faso,BFA,AF,2020,0.29,0,0.06,0.03,0,0
Burma (Myanmar),MMR,AS,2020,3.83,0,0.08,3.33,0,0
Burundi,BDI,AF,2020,0.03,0,0.01,0.06,0,0
Cambodia,KHM,AS,2020,1.36,0,0.21,1.33,0,0
