Country,Code,ContinentCode,Year,Property rights index (0-100),Freedom from corruption index (0-100),Fiscal freedom index (0-100),Business freedom index (0-100),Labor freedom index (0-100),Monetary freedom index (0-100),Trade freedom index (0-100),Investment freedom index (0-100),Financial freedom index (0-100),Economic freedom overall index (0-100)
Afghanistan,AFG,AS,2021,30,29,91,54,60,80.8,69,10,10,53
Albania,ALB,EU,2021,46,41,89,66,52,82,83,70,70,65
Albania,ALB,EU,2022,56,36,71,71,51,82,83,70,70,67
Algeria,DZA,AF,2021,34,33,67,64,51,84.3,57,30,30,50
Algeria,DZA,AF,2022,28,30,39,50,52,80.1,57,30,30,46
Angola,AGO,AF,2021,30,20,87,57,60,67.5,70,30,40,54
Angola,AGO,AF,2022,40,21,80,38,54,61.2,70,30,40,53
Argentina,ARG,SA,2021,46,54,70,60,46,41.9,63,55,60,53
Argentina,ARG,SA,2022,35,45,17,55,51,37.9,61,55,60,50
Armenia,ARM,AS,2021,57,45,87,82,75,76.9,74,75,70,72
Armenia,ARM,AS,2022,50,51,76,65,47,77.5,74,75,70,65
Australia,AUS,OC,2021,82,90,63,87,84,86.7,90,80,90,82
Australia,AUS,OC,2022,92,87,52,85,64,83.2,90,80,90,78
Austria,AUT,EU,2021,87,85,46,73,68,81.7,84,90,70,74
Austria,AUT,EU,2022,98,83,72,82,78,82.3,79,80,70,74
Azerbaijan,AZE,AS,2021,68,47,88,81,66,73.2,68,70,60,70
Azerbaijan,AZE,AS,2022,54,29,99,65,56,74.5,67,70,60,62
Bahamas,BHS,NA,2021,48,48,97,70,70,77,49,50,60,65
Bahamas,BHS,NA,2022,61,64,67,63,69,79.2,49,50,60,69
Bahrain,BHR,AS,2021,72,64,100,77,71,82.8,84,75,80,70
Bahrain,BHR,AS,2022,66,42,,60,55,81.1,83,85,80,62
Bangladesh,BGD,AS,2021,38,28,84,56,69,69.9,63,45,30,57
Bangladesh,BGD,AS,2022,36,22,54,56,37,70,64,50,40,53
Barbados,BRB,NA,2021,53,50,79,70,60,77.3,58,70,60,65
Barbados,BRB,NA,2022,73,69,80,65,63,78.6,58,70,60,71
Belarus,BLR,EU,2021,59,40,93,76,76,70.2,76,30,20,61
