Country,Code,ContinentCode,Year,Population size in millions,Population density people per square km,Population ages 65 and above percent of total,Population ages 0-14 percent of total,Female population percent of total,Refugee population,Migrant population percent of total population,Population growth percent
Afghanistan,AFG,AS,2020,38.93,60,2.65,41.82,48.68,72278,,2.3
Albania,ALB,EU,2020,2.84,104,14.7,17.24,49.1,105,,-0.57
Algeria,DZA,AF,2020,43.85,18,6.74,30.78,49.48,97651,,1.84
Andorra,AND,EU,2020,0.08,164,,,,,,0.15
Angola,AGO,AF,2020,32.87,26,2.19,46.4,50.52,25791,,3.22
Antigua and Barbuda,ATG,NA,2020,0.1,223,9.33,21.85,51.73,,,0.83
Argentina,ARG,SA,2020,45.38,17,11.37,24.44,51.21,3965,,0.97
Armenia,ARM,AS,2020,2.96,104,11.8,20.83,52.97,107910,,0.19
Aruba,ABW,NA,2020,0.11,593,14.61,17.38,52.57,,,0.43
Australia,AUS,OC,2020,25.69,3,16.21,19.29,50.2,57411,,1.28
Austria,AUT,EU,2020,8.92,108,19.2,14.41,50.71,141816,,0.42
Azerbaijan,AZE,AS,2020,10.09,122,6.74,23.52,50.05,1572,,0.68
Bahamas,BHS,NA,2020,0.39,39,7.75,21.6,51.41,15,,0.96
Bahrain,BHR,AS,2020,1.7,2182,2.65,18.28,35.33,256,,3.62
Bangladesh,BGD,AS,2020,164.69,1265,5.23,26.75,49.44,866534,,1
Barbados,BRB,NA,2020,0.29,668,16.7,16.76,51.6,,,0.12
Belarus,BLR,EU,2020,9.38,46,15.58,17.24,53.44,2900,,-0.42
Belgium,BEL,EU,2020,11.54,381,19.25,17.03,50.44,64973,,0.48
Belize,BLZ,NA,2020,0.4,17,5.01,29.2,50.26,29,,1.85
Benin,BEN,AF,2020,12.12,108,3.28,41.94,50.06,1396,,2.69
Bermuda,BMU,NA,2020,0.06,1183,,,,,,-0.03
Bhutan,BTN,AS,2020,0.77,20,6.2,24.89,46.85,,,1.11
Bolivia,BOL,SA,2020,11.67,11,7.49,30.2,49.82,1116,,1.38
Bosnia and Herzegovina,BIH,EU,2020,3.28,64,17.92,14.52,51.03,5232,,-0.61
Botswana,BWA,AF,2020,2.35,4,4.51,33.4,51.56,617,,2.06
Brazil,BRA,SA,2020,212.56,25,9.59,20.71,50.87,59092,,0.71
Brunei,BRN,AS,2020,0.44,83,5.57,22.32,48.12,,,0.96
Bulgaria,BGR,EU,2020,6.93,64,21.47,14.68,51.44,21113,,-0.6
Burkina Faso,BFA,AF,2020,20.9,76,2.41,44.37,50.03,20252,,2.82
Burma (Myanmar),MMR,AS,2020,54.41,83,6.24,25.49,51.81,,,0.67
Burundi,BDI,AF,2020,11.89,463,2.38,45.25,50.38,75461,,3.08
Cambodia,KHM,AS,2020,16.72,95,4.85,30.92,51.18,,,1.4
Cameroon,CMR,AF,2020,26.55,56,2.72,42.06,49.98,436396,,2.55
Canada,CAN,NA,2020,38.04,4,18.1,15.78,50.37,109214,,1.15
Cape Verde,CPV,AF,2020,0.56,138,4.79,28.08,49.8,,,1.09
Central African Republic,CAF,AF,2020,4.83,8,2.8,43.54,50.43,9083,,1.77
Chad,TCD,AF,2020,16.43,13,2.5,46.49,50.08,478649,,2.96
Chile,CHL,SA,2020,19.12,26,12.24,19.24,50.69,2053,,0.86
China,CHN,AS,2020,1411.1,150,11.97,17.71,48.71,303405,,0.24
Colombia,COL,SA,2020,50.88,46,9.06,22.18,50.9,957,,1.07
