Country,Code,ContinentCode,Year,Health spending per capita,Health spending as percent of GDP,Life expectancy in years,Death rate per 1000 people,Fertility rate births per woman,Prevalence of HIV percent of the population ages 15-49,Cases of Tuberculosis per 100000 people,Hospital beds per 1000 people,Nurse to hospital bed ratio,Doctors per 1000 people,Nurses per 1000 people,Dentists per 1000 people,Pharmacists per 1000 people
Afghanistan,AFG,AS,2020,,,65.17,6.16,4.18,0.1,193,,,,,,
Albania,ALB,EU,2020,,,78.69,8.26,1.58,0.1,15,,,,,,
Algeria,DZA,AF,2020,,,77.06,4.72,2.94,0.1,59,,,,,,
Andorra,AND,EU,2020,,,,,,,3,,,,,,
Angola,AGO,AF,2020,,,61.49,7.8,5.37,1.8,350,,,,,,
Antigua and Barbuda,ATG,NA,2020,,,77.15,6.48,1.98,,2.3,,,,,,
Argentina,ARG,SA,2020,,,76.81,7.6,2.23,0.4,31,,,,,,
Armenia,ARM,AS,2020,,,75.22,9.8,1.76,0.2,23,,,,,,
Aruba,ABW,NA,2020,,,76.43,9.36,1.9,,1.1,,,,,,
Australia,AUS,OC,2020,,,83.2,6.3,1.58,0.1,7.3,,,3.9,12.26,0.61,0.91
Austria,AUT,EU,2020,,,81.19,10.3,1.44,,4.9,7.05,,5.35,10.48,0.58,0.73
Azerbaijan,AZE,AS,2020,,,73.12,7.5,1.7,0.1,58,,,,,,
Bahamas,BHS,NA,2020,,,74.05,6.93,1.73,1.2,9.1,,,,,,
Bahrain,BHR,AS,2020,,,77.42,2.44,1.94,,13,,,,,,
Bangladesh,BGD,AS,2020,,,72.87,5.52,1.99,,218,,,,,,
Barbados,BRB,NA,2020,,,79.31,9.13,1.63,,2.4,,,,,,
Belarus,BLR,EU,2020,,,74.23,13,1.38,0.5,26,,,,,,
Belgium,BEL,EU,2020,,,80.8,11,1.55,,7.7,5.53,,3.21,,0.77,1.29
Belize,BLZ,NA,2020,,,74.75,4.8,2.25,1.2,23,,,,,,
Benin,BEN,AF,2020,,,62.08,8.57,4.7,0.9,55,,,,,,
Bermuda,BMU,NA,2020,,,82.06,8.8,1.3,,5.5,,,,,,
Bhutan,BTN,AS,2020,,,72.08,6.26,1.93,0.2,165,,,,,,
Bolivia,BOL,SA,2020,,,71.77,6.76,2.65,0.2,105,,,,,,
Bosnia and Herzegovina,BIH,EU,2020,,,77.54,11.05,1.24,,26,,,,,,
Botswana,BWA,AF,2020,,,69.79,5.72,2.8,19.9,236,,,,,,
Brazil,BRA,SA,2020,,,76.08,6.61,1.71,0.6,45,2.45,,2.05,1.42,,
Brunei,BRN,AS,2020,,,76,4.66,1.8,,83,,,,,,
Bulgaria,BGR,EU,2020,,,73.61,18,1.56,,19,,,,,,
Burkina Faso,BFA,AF,2020,,,61.98,7.71,5.03,0.7,46,,,,,,
Burma (Myanmar),MMR,AS,2020,,,67.36,8.25,2.12,,308,,,,,,
Burundi,BDI,AF,2020,,,61.92,7.61,5.24,1,103,,,,,,
Cambodia,KHM,AS,2020,,,70.05,6,2.45,0.5,274,,,,,,
Cameroon,CMR,AF,2020,,,59.63,8.88,4.44,3,174,,,,,,
Canada,CAN,NA,2020,,,81.75,8.1,1.4,,5.9,2.55,,2.73,10.06,0.65,1.04
Cape Verde,CPV,AF,2020,,,73.17,5.54,2.21,0.5,39,,,,,,
Central African Republic,CAF,AF,2020,,,53.68,11.72,4.57,2.9,540,,,,,,
Chad,TCD,AF,2020,,,54.51,11.72,5.55,1.1,144,,,,,,
Chile,CHL,SA,2020,,,80.33,6.35,1.61,0.6,15,2.01,0.51,,,,
China,CHN,AS,2020,,,77.1,7.07,1.7,,59,4.95,,2.36,3.27,,
Colombia,COL,SA,2020,,,77.46,5.71,1.77,0.4,37,1.69,,,,,
Comoros,COM,AF,2020,,,64.53,7.06,4.07,0.1,35,,,,,,
Costa Rica,CRC,NA,2020,,,80.46,5.23,1.72,0.4,10,,,,,,
Croatia,HRV,EU,2020,,,77.72,14.1,1.48,0.1,6.6,,,,,,
Cyprus,CYP,EU,2020,,,81.14,7.18,1.31,,5.7,,,,,,
Czechia,CZE,EU,2020,,,78.23,12.1,1.71,,3.9,6.5,,4.1,8.66,0.74,0.71
Democratic Republic of the Congo,COD,AF,2020,,,60.97,9.12,5.72,0.7,319,,,,,,
Denmark,DNK,EU,2020,,,81.55,9.4,1.67,0.1,4.9,2.59,,,,,
Djibouti,DJI,AF,2020,,,67.49,6.92,2.63,0.8,224,,,,,,
Dominica,DMA,NA,2020,,,,,,,47,,,,,,
Dominican Republic,DOM,NA,2020,,,74.26,6.23,2.3,0.9,41,,,,,,
Ecuador,ECU,SA,2020,,,77.22,5.14,2.38,0.3,48,,,,,,
Egypt,EGY,AF,2020,,,72.15,5.75,3.24,0.1,11,,,,,,
El Salvador,SLV,NA,2020,,,73.53,7.1,2,0.5,55,,,,,,
Equatorial Guinea,GNQ,AF,2020,,,59.06,8.91,4.35,7.3,280,,,,,,
Eritrea,ERI,AF,2020,,,66.68,6.87,3.93,0.5,81,,,,,,
Estonia,EST,EU,2020,,,78.35,11.9,1.58,0.8,10,4.46,,3.48,6.38,1,0.73
Ethiopia,ETH,AF,2020,,,66.95,6.29,4.05,0.9,132,,,,,,
Euro area,XC,EU,2020,,,81.54,11.14,1.49,0.22,,,,,,,
Faroe Islands,FRO,EU,2020,,,83.09,7,2.3,,,,,,,,
Fiji,FJI,OC,2020,,,67.56,8.33,2.73,0.2,66,,,,,,
Finland,FIN,EU,2020,,,82.13,10,1.37,,3.6,2.83,,,,,
France,FRA,EU,2020,,,82.18,9.9,1.83,,8.2,5.73,,3.17,,0.63,1.02
Gabon,GAB,AF,2020,,,66.69,6.6,3.87,3,527,,,,,,
