Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Albania,ALB,EU,2017,60.79,81.51,82.59,72.08,78.6,87.03,83.05,111.37,83.85,105.12,49.965,83.72,24.17,95.5,50.78,85.47,108.62,56.64,16.96,86.72
Algeria,DZA,AF,2017,49.36,84.511,82.09,96.18,64.65,73.09,121.76,140.53,106,67.86,26.374,42.11,33.2,44.22,33.93,113.96,72.35,47.04,29.26,122.17
Angola,AGO,AF,2017,92.68,166.187,141.8,209.27,186.65,186.75,128.18,185.81,108.63,81.32,46.683,92.76,81.24,95.87,79.22,163.86,186.2,77.13,39.58,192.26
Antigua and Barbuda,ATG,NA,2017,131.03,168.613,339.87,318.68,143.93,188.47,112.49,139.36,181.22,93.19,110.028,130,95.32,140.48,105.93,162.28,170.3,118.38,87.41,166.03
Argentina,ARG,SA,2017,93.54,122.409,139.56,160.13,136.98,142.74,84.52,162.49,101.2,144.01,84.004,86.25,67.49,101.83,89.24,105.57,105.52,101.92,71.42,164.11
Armenia,ARM,AS,2017,49.68,76.102,92.45,80.92,65.54,90.58,86.96,80.74,50,94.91,27.374,81.64,33.24,64.05,68.35,57.79,38.79,63.33,14.11,91.34
Aruba,ABW,NA,2017,118.56,148.766,174.7,226.43,162.13,153.35,108.58,146.45,200.32,120.78,94.679,114.99,106.78,114.71,96.84,114.59,196.37,102.95,110.84,93.71
Australia,AUS,OC,2017,168.02,153.54,146.44,208.06,173.38,144.57,140.67,163.18,184.6,129.27,257.057,130.79,163.44,132.55,161.57,95.54,138.72,129.86,205.51,110
Austria,AUT,EU,2017,134.56,144.994,153.6,175.08,158.8,104.69,179.24,192.78,89.61,132.19,150.281,126.51,136.98,143.7,132.87,110.51,95.98,126.38,205.98,96.18
Azerbaijan,AZE,AS,2017,40.56,55.135,58.45,52.96,56.5,70.22,58.45,70.25,42.06,74.75,22.43,69.61,26.68,52.79,59.3,46.42,28.7,51.31,13.59,90.62
Bahamas,BHS,NA,2017,158.09,156.742,268.52,183.11,195.61,204.57,99.92,101.47,226.76,184.2,129.749,208.34,170.78,138.57,118.98,136.57,181.29,161.29,161.34,119.11
Bahrain,BHR,AS,2017,77.81,110.878,150.81,117.69,117.22,104.67,108.77,75.68,444.9,95.06,61.304,72.06,78.14,58.36,79.28,85.41,95.63,83.14,89.11,100.85
Bangladesh,BGD,AS,2017,52.6,79.094,88.45,54.59,79.41,93.78,85.14,73.52,,54.66,36.09,61.51,33.09,64.48,40.86,123.16,51.2,43.06,47.82,131.2
Barbados,BRB,NA,2017,169.9,182.578,305.29,308.21,186.54,146.9,155.65,155.37,200.39,138.84,162.409,157.42,146.66,143.79,124.83,188.08,143.42,139.79,189.35,153.34
Belarus,BLR,EU,2017,45.75,64.894,82.97,63.15,63.26,65.82,66.37,74.08,49.54,82.98,26.102,76.51,26.83,59.62,66.36,50.41,29.95,56.55,17.02,85.69
Belgium,BEL,EU,2017,136.89,129.24,146.4,132.85,133.3,107.31,154.94,159.72,93.48,132.84,169.215,123.41,128.34,141.05,149.13,113.55,164.29,116.88,179.94,92.95
Belize,BLZ,NA,2017,105.86,119.772,72.6,174.43,138.3,114.47,99.87,121.98,207.8,107.68,97.035,82.28,76.59,122.29,66.3,153.49,169.25,102.79,97.11,149.09
Benin,BEN,AF,2017,54.05,81.566,59.99,91.19,82.03,145.57,67.34,73.7,90.7,58.41,33.312,47.14,42.63,67.21,57.19,115.19,107.28,56.75,31.51,123.7
Bermuda,BMU,NA,2017,225.86,181.645,165.41,238.9,322.79,192.98,107.14,137.92,242.13,199.25,279.748,143.19,228.75,157.65,198.36,165.98,237.5,177.78,348.25,162.1
Bhutan,BTN,AS,2017,45.07,69.481,86.07,78.31,71.63,82.44,63.87,61.96,94.28,45.5,27.241,59.73,18.71,62.61,33.69,92.49,78.96,43.12,30.02,123.42
Bolivia,BOL,SA,2017,53.79,68.3,60,81.67,90.3,70.83,52.87,77.02,86.99,61.79,35.969,58.84,48.48,52.08,43.09,105.54,151.47,55.59,76.58,95.58
Bosnia and Herzegovina,BIH,EU,2017,64.74,86.916,95.91,104.19,83.93,80.38,84.28,108.36,64.83,142.04,38.29,74.2,47.91,89.74,68.98,90.69,93.35,66.42,29.72,92.55
Botswana,BWA,AF,2017,69.39,98.008,89.96,126.66,88.99,111.15,72.68,143.97,117.92,60.44,55.27,70.11,48.25,74.45,93.59,116.56,114,74.22,54.34,141.16
Brazil,BRA,SA,2017,104.54,107.662,105.73,118.82,143.72,121.49,76.08,108.41,126.46,114.89,93.554,99.65,108.45,117.43,90.79,111.07,160.8,119.87,101.85,120.79
Brunei,BRN,AS,2017,72.31,103.366,143.05,166.8,91.69,121.49,98.83,81.58,,111.12,39.29,63.69,68.67,102.26,50.86,210.83,176.47,75.23,61.49,124.92
Bulgaria,BGR,EU,2017,60.89,84.915,84.78,97.98,70.66,93.51,78.04,105.69,65.16,98.55,48.457,73.8,32.03,89.35,56.23,92.74,74.02,64.73,32.61,84.29
Burkina Faso,BFA,AF,2017,49.19,76.365,47.83,76.8,74.53,132.78,68.99,96.49,82.02,43.09,27.16,42.09,38.07,71.35,44.87,114.13,115.61,50.99,39.17,114.53
Burma (Myanmar),MMR,AS,2017,41.08,66.501,67.91,69.81,68.24,86.1,67,56.02,107.32,43.77,22.258,46.08,22.18,61.59,36.81,111.77,72.45,37.71,24.28,84.67
Burundi,BDI,AF,2017,54.25,91.02,52.26,72.29,111.35,129.85,70.13,162.16,166.99,42.1,23.876,65.08,43.18,78.85,43.29,128.52,63.27,48.97,25.88,125.14
Cambodia,KHM,AS,2017,52.69,79.02,87.59,89.52,70.8,102.91,89.68,70.33,114.03,54.41,47.687,60.2,30.95,78.19,41.38,130.16,59.31,47.72,26.25,108.63
Cameroon,CMR,AF,2017,58.34,83.269,60.76,70.77,109.22,139.99,67.69,73.65,89.57,79.6,40.433,62.58,56.64,71.04,54.39,140.11,110.49,58.22,26.91,115.56
Canada,CAN,NA,2017,142.12,137.341,148.05,179.9,125.9,152.46,136.14,141.48,121.56,147.44,175.921,136.94,127.09,125.55,148.32,89.82,203.21,121.52,169,94.35
Cape Verde,CPV,AF,2017,69.79,93.118,143.1,150.66,85.41,88.63,85.77,98.57,113.7,78.74,48.58,77.64,46.67,98.82,64.65,122.88,156.99,74.04,51.43,133.82
Central African Republic,CAF,AF,2017,75.56,118.033,60.2,137.14,134.66,197.98,87.44,108.85,141.61,62.87,55.438,60.3,49.57,73.37,86.26,136.88,144.12,71.78,29.04,123.41
Chad,TCD,AF,2017,58.53,88.871,69.43,100.35,96.8,121.42,56.38,100.08,81.98,49.23,39.501,49.18,51.53,70.11,46.19,96.69,135.17,62.18,37.06,120.56
Chile,CHL,SA,2017,105.82,120.959,83.17,164.28,125.08,137.71,113.9,116.69,92.44,141.67,127.484,107.62,94.72,92.83,104.37,101.42,111.71,92.25,62.93,95.47
China,CHN,AS,2017,87.94,116.157,143.34,100.55,121.62,149.34,98.55,116.05,151.73,145.88,72.189,111.24,61.64,77.9,75.24,84.95,88.92,69.23,117.38,125.41
Colombia,COL,SA,2017,68.94,89.73,69.2,80.24,114.92,96.94,81.74,131.31,107.35,86.99,69.184,69.4,45.51,75.97,60.78,105.17,100.32,67.71,24.59,115.08
Comoros,COM,AF,2017,70.11,114.522,69.17,130.41,119.98,171.94,102.47,115.8,191.11,82.02,43.906,73.58,45.04,78.27,62.8,116.75,82.39,71.68,20.49,121.93
Costa Rica,CRC,NA,2017,94.13,128.254,132.22,180.81,140.1,134.49,108.9,162.94,132.67,107.66,85.381,80.98,131.92,92.31,90.98,134.16,80.14,82.57,58.13,114.01
Croatia,HRV,EU,2017,82.76,109.272,110.52,133.04,120.09,94.89,105.15,136.85,89.52,120.69,61.839,95.99,58.08,112.89,92.46,101.25,103.02,81.14,53.4,86.83
Cyprus,CYP,EU,2017,108.2,126.753,116.36,127.59,148.25,138.43,115.02,149.92,98.42,125.97,96.142,103.24,109.91,116.86,115.34,94.8,100.74,99.6,160.28,90.77
Czechia,CZE,EU,2017,83.97,93.819,99.06,112.27,91.43,85.81,90.96,133.75,69.98,123.91,89.812,94.89,46.54,97.56,75.54,87.81,112.12,76.23,64.16,89.57
Democratic Republic of the Congo,COD,AF,2017,61.73,93.419,51.5,84.92,106.05,145.85,90.89,104.49,96.26,58.06,45.677,49.31,45.22,72.09,67.02,103.86,118.56,52.11,40.62,138.78
Denmark,DNK,EU,2017,171.78,151.189,135.34,175.54,181.4,114.51,150.13,190.29,109.27,175.17,228.068,140.8,147.83,173.28,189.75,155.59,114.5,162.05,196.8,106.04
Djibouti,DJI,AF,2017,84.48,126.816,113.82,117.38,160.06,165.63,104.52,120.18,182.91,64.02,59.623,77.45,78.98,78.48,76.22,120.75,123.73,88.87,86.05,124.86
Dominica,DMA,NA,2017,99.61,142.201,178.15,236.25,162.11,146.87,109.26,103.27,169.71,87.14,72.97,108.78,74.92,125.62,62.86,123.79,134.1,110.3,53.9,108.89
Dominican Republic,DOM,NA,2017,73.55,104.939,105.11,132.46,122.71,117.01,76,106.77,154.61,78.75,45.149,60.52,56.62,81.09,69.79,108.42,99.29,83.75,47.9,115.21
Ecuador,ECU,SA,2017,82.35,103.177,76.37,86.84,119.7,110.77,95.55,122.39,169.36,126.05,54.991,86.32,67.88,72.85,118.35,133.85,105.08,85.32,74.28,105.17
Egypt,EGY,AF,2017,27.37,52.288,41.99,30.76,60.61,60.89,70.06,48.85,77.61,33.54,10.146,35.91,18.61,31.57,26.44,93.48,25.22,29.54,20.1,82.54
El Salvador,SLV,NA,2017,73.82,86.25,69.43,133.83,115.69,100.25,81.42,80.23,145.2,107.11,72.933,68.79,59.68,69.7,65.92,105.02,114.84,72.98,60.7,97.86
Equatorial Guinea,GNQ,AF,2017,74.93,118.227,109.24,166.46,142.04,127.79,89.32,84.28,86.65,97.44,42.777,71.34,57.46,76.68,80.17,115.5,169.74,57.24,21.73,122.92
Estonia,EST,EU,2017,96.58,106.699,115.28,130.26,109.37,99.17,102.36,139.99,103.43,137.24,90.862,103.33,71.8,107.95,106.71,92.7,73.92,95.18,72.33,88.72
Ethiopia,ETH,AF,2017,51.03,88.177,88.66,63.7,89.49,134.49,98.91,87.96,96.23,58.14,32.798,59.29,29.84,40.06,33.08,141.41,56.13,41.39,30.28,141.75
Fiji,FJI,OC,2017,68.38,94.463,112.57,95.68,89.77,146.29,100.44,86.38,215.78,74.01,38.128,88.18,49.03,77.68,63.21,125.58,55.01,53.8,73.09,108.09
Finland,FIN,EU,2017,151.13,135.333,145.78,180.96,150.14,112.18,148.46,162.57,156.01,153.53,194.471,129.55,150.05,152.76,160.6,119.94,91.86,135.32,142.76,100.44
France,FRA,EU,2017,135.27,132.25,162.59,159.96,130.66,97.3,160.4,166.3,83.59,137.84,169.016,124.63,109.69,141.89,147.23,113.31,109.61,119.58,125.12,95.16
Gabon,GAB,AF,2017,78.6,120.011,112.03,157.19,127.72,121.26,112.34,98.56,88.05,85.72,75.103,70.63,64.92,85.64,60.16,118.11,108.94,69.93,35.08,119.47
Gambia,GMB,AF,2017,46.48,75.281,64.8,85.07,70.09,108.03,74.51,50.41,134.73,29.16,34.9,37.19,35.37,52.13,45.97,124.88,59.38,37.74,30.26,137.72
Georgia,GEO,AS,2017,52.82,79.168,,,66.27,104.68,75.34,142.87,84.2,117.69,37.851,83,32.97,59.28,60.71,95.74,57,47.88,22.3,81.55
Germany,DEU,EU,2017,127.47,116.028,122.35,149.13,118.54,90.25,129.24,182.79,77.5,124.04,161.346,118.91,112.67,141.33,137.9,108.18,113.92,115.91,141,87.62
Ghana,GHA,AF,2017,57.69,101.488,53.44,135.32,112.39,154.7,72.01,96.28,78.53,45.23,47.678,45.12,45.36,64.37,49.72,95.28,51.85,46.49,29.59,134.84
Greece,GRC,EU,2017,104.66,121.131,86.15,128.3,135.84,131.34,114.22,158.22,119.46,124.45,93.385,107.18,95.17,120.91,103.71,100.56,171.14,93.79,76.59,98.29
Grenada,GRD,NA,2017,95.54,152.107,174.98,238.77,160.58,170.66,114.36,124.39,160.75,93.74,53.507,121.75,72.22,115.65,70.45,152.89,145.93,106.33,69.86,122.12
Guinea,GIN,AF,2017,50.48,96.107,71.19,159.73,73.65,133.28,66.4,78.8,108.51,35.03,22.665,42.26,47.21,46.26,33.39,119.13,63.68,37.12,21.37,121.39
Guinea-Bissau,GNB,AF,2017,57.18,91.334,85.08,125.54,93.58,122.16,80.38,68.26,74.91,62.4,30.665,56.65,38.57,64.06,74.97,113.73,87.04,63.27,29.82,129.16
Guyana,GUY,SA,2017,78.11,111.953,131.56,162.64,107.3,139.91,106,76.89,148.26,75.51,60.131,94.06,57.21,75.59,65.03,97.06,113.02,72.09,42.49,165.7
Haiti,HTI,NA,2017,70.01,96.997,71.43,108.28,101.5,148.93,90.13,133.58,109.88,99.15,57.264,39.33,55.23,73.42,45.18,90.91,91.16,66.18,55.78,128.39
Honduras,HND,NA,2017,65.87,86.181,77.48,108.48,97.4,94.06,76.02,96.34,79.86,81.87,46.597,74.36,79.36,77.13,47.1,100.5,98.47,57.21,68.17,89.54
Hong Kong,HKG,AS,2017,114.81,151.611,169.65,174.82,132.9,187.16,137.27,165.49,137.32,98.32,112.78,110.32,138.09,128.9,88.62,105.02,113.01,70.05,176.06,108.41
Hungary,HUN,EU,2017,77.19,96.955,99.81,119.67,90.04,90.56,92.78,138.21,68.6,113.33,62.637,89.98,52.59,107.04,75.87,96.36,101.74,71.28,65.51,83.07
Iceland,ISL,EU,2017,209.1,179.378,156.44,210.05,192.36,167.47,216.64,175.01,249.97,206.78,220.55,166.72,228.54,194.11,232.37,141.14,170.54,191.42,268.37,114.04
India,IND,AS,2017,42.86,58.758,58.15,52.22,55.79,68.69,65.43,62.36,139.03,36.86,34.561,50.6,24.62,60.97,42.25,79.3,39.22,38.23,40.25,86.82
Indonesia,IDN,AS,2017,54.52,90.192,107.68,118.47,93.63,106.59,78.54,71.09,183.24,61.3,29.672,64.26,34.05,68.07,40.66,116.04,70.71,52.41,41.4,104.36
Iran,IRN,AS,2017,60.16,98.98,138.13,80.78,103.43,79.23,106.8,98.04,275.08,95.63,42.643,88.84,35.59,58.75,74.6,182.05,17.65,55.08,29.31,135.49
Iraq,IRQ,AS,2017,63.39,93.558,98.92,87.64,97.29,95.62,103.03,68.13,133.49,67.66,38.287,69.86,60.89,74.05,67.87,115.67,96.15,72.09,67.72,93.41
Ireland,IRL,EU,2017,157.19,139.882,158.01,177.33,145.01,121.71,134.46,162.06,160.89,138.84,222.32,120.49,177.7,142.3,151.45,119.27,152,122.55,138.51,92.83
Israel,ISR,AS,2017,167.52,171.324,129.37,145.29,199.87,192.16,181.6,178.9,158.69,155.41,232.165,139.66,186.3,146.2,176.01,166.02,108.35,138.4,162.23,125.41
Italy,ITA,EU,2017,124.24,129.286,134.54,147.22,138.26,113.15,146.18,152.39,86.92,126.63,136.011,122.72,135.99,135.37,131.33,110.26,124.31,112.03,118.56,86.97
Ivory Coast,CIV,AF,2017,60.86,90.055,56.68,110.82,89.88,140.94,84.59,90.59,98.96,74.28,32.791,49.12,62.72,68.41,50.05,111.34,127.99,68.06,68.36,125.3
Jamaica,JAM,NA,2017,78.85,121.475,130.86,219.22,106.75,172.92,97.09,103.35,140.55,58.38,71.109,80.4,46.67,90.06,62.09,136.49,54.33,79.44,65.06,136.76
Japan,JPN,AS,2017,144.44,188.076,254.45,289.34,196.05,173.59,198.56,144.62,110.76,129.28,163.915,135.66,122.84,139.94,129.06,101.65,175.69,133.13,139.6,97.55
Jordan,JOR,AS,2017,66.64,99.086,118.06,84.98,79.29,107.83,113.53,99.29,154.07,65.75,43.818,68.55,49.84,81.46,63.76,138.08,91.35,65.85,57.93,95.12
Kazakhstan,KAZ,AS,2017,55.08,70.57,96.55,84.15,62.77,76.71,66.78,75.66,46.41,93.29,63.413,78.44,30.55,55.99,67.06,53.86,41.97,59.51,16.34,92.64
Kenya,KEN,AF,2017,57.71,80.809,64.79,86.62,80.13,98.7,72.52,110.25,129.69,47.83,64.588,50.67,41.15,81.15,38.81,103.85,64.52,53.23,36.16,111.95
